Zoned School,Current Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,,12,,1,4,17
"",Charter Total,,,4,13,104,,10,54,185
"",Choice,ALEXANDER ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Bay Crest,Choice,BELLAMY ELEMENTARY,Elem,,,10,,,2,12
"",,BRYANT ELEMENTARY,Elem,1,,4,,2,6,13
"",,CANNELLA ELEMENTARY,Elem,,,1,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,,5,,,1,6
"",,CLAYWELL ELEMENTARY,Elem,,,,,,1,1
"",,CRESTWOOD ELEMENTARY,Elem,,,1,,,,1
"",,DAVIS ELEMENTARY,Elem,,1,4,,,3,8
"",,DEER PARK ELEMENTARY,Elem,1,,3,,1,8,13
"",,DICKENSON ELEMENTARY,Elem,,,2,,2,2,6
"",,GORRIE ELEMENTARY,Elem,,,,,,1,1
"",,HAMMOND ELEMENTARY,Elem,,,4,,,2,6
"",,LOWRY ELEMENTARY,Elem,1,2,6,,4,5,18
"",,MABRY ELEMENTARY,Elem,,,,,,1,1
"",,MCKITRICK ELEMENTARY,Elem,,1,,,,1,2
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,,,,1,,1
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,1,1,,,,2
"",,WESTCHASE ELEMENTARY,Elem,,,4,,,5,9
"",,WOODBRIDGE ELEMENTARY,Elem,2,,8,,1,,11
"",Choice Total,,,5,5,55,,11,38,114
"",ESE Placed,DAVIS ELEMENTARY,Elem,,,,,,1,1
"",,NORTHWEST ELEMENTARY,Elem,,,,,,1,1
"","ESE Placed
Total",,,,,,,,2,2
"",Magnet,MACFARLANE PARK ELEM MAGNET,Elem,,,,,2,5,7
"",,RAMPELLO K-8,K-8,,1,3,,,,4
"",,ROLAND PARK K-8 MAGNET,K-8,,1,3,,3,8,15
"",,SHORE ELEMENTARY,Elem,,,1,,,,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,1,,2
"",Magnet Total,,,,3,7,,6,13,29
"",Neighborhood,BAY CREST ELEMENTARY,Elem,9,47,366,1,28,51,502
"",,BELLAMY ELEMENTARY,Elem,,,5,,2,1,8
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Bay Crest,Neighborhood,BUCKHORN ELEMENTARY,Elem,,,1,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,,1,,,,1
"",,CRESTWOOD ELEMENTARY,Elem,,,1,,,,1
"",,DAVIS ELEMENTARY,Elem,,,7,,,1,8
"",,DEER PARK ELEMENTARY,Elem,,,,,1,,1
"",,DICKENSON ELEMENTARY,Elem,,,2,,,1,3
"",,ESSRIG ELEMENTARY,Elem,,2,1,,,,3
"",,FOREST HILLS ELEMENTARY,Elem,,,1,,,,1
"",,LANIER ELEMENTARY,Elem,,,1,,,,1
"",,LOWRY ELEMENTARY,Elem,,,2,,1,,3
"",,LUTZ K-8 SCHOOL,K-8,,,,,,1,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,,,,1,1
"",,MANGO ELEMENTARY,Elem,,,1,,,,1
"",,MORGAN WOODS ELEMENTARY,Elem,,,,,,1,1
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,,,,,1,1
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,3,,,,,3
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,9,,,,9
"",,WOODBRIDGE ELEMENTARY,Elem,,1,1,,1,,3
"","Neighborhood
Total",,,9,53,400,1,33,58,554
"Bay Crest Total
1874566160165884",,,,,,,,,,
Bellamy,Charter,DR KIRAN C PATEL ELEMENTARY,Elem,,,,,1,,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,3,3,120,,3,13,142
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,1,30,,1,1,33
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,2,1,,,3
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,5,,,3,8
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,,12,,1,1,14
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,,,,,,1,1
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,4,,,2,6
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,1,,,,,1
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,1,,8,,,3,12
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Bellamy,Choice,BAY CREST ELEMENTARY,Elem,,,2,,,,2
"",,BELLAMY ELEMENTARY,Elem,,,4,,,,4
"",,BRYANT ELEMENTARY,Elem,1,2,1,,,4,8
"",,CANNELLA ELEMENTARY,Elem,,2,4,,,1,7
"",,CARROLLWOOD K-8 SCHOOL,K-8,,,1,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,,14,,2,5,21
"",,CLAYWELL ELEMENTARY,Elem,,,1,,,4,5
"",,CRESTWOOD ELEMENTARY,Elem,,,2,,,,2
"",,DAVIS ELEMENTARY,Elem,,,4,,,,4
"",,DEER PARK ELEMENTARY,Elem,,,1,,,1,2
"",,ESSRIG ELEMENTARY,Elem,,4,10,,,6,20
"",,GRADY ELEMENTARY,Elem,,,1,,,,1
"",,HAMMOND ELEMENTARY,Elem,,,3,,,,3
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,1,,,,1
"",,LOWRY ELEMENTARY,Elem,,,,,,1,1
"",,MCKITRICK ELEMENTARY,Elem,,,1,,,,1
"",,NORTHWEST ELEMENTARY,Elem,,,3,,,,3
"",,SCHWARZKOPF ELEMENTARY,Elem,,,1,,,,1
"",,SHAW ELEMENTARY,Elem,,,1,,,,1
"",,WESTCHASE ELEMENTARY,Elem,,,4,,,2,6
"",Choice Total,,,1,8,59,,2,24,94
"",ESE Placed,ESSRIG ELEMENTARY,Elem,,,1,,,1,2
"","ESE Placed
Total",,,,,1,,,1,2
"",Magnet,DUNBAR ELEMENTARY,Elem,,,1,,,1,2
"",,ESSRIG ELEMENTARY,Elem,,1,1,,,1,3
"",,LOMAX ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,,,1,,1
"",,ROLAND PARK K-8 MAGNET,K-8,1,,1,,1,1,4
"",Magnet Total,,,1,1,4,,2,3,11
"",Neighborhood,ALEXANDER ELEMENTARY,Elem,,,2,,,,2
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Bellamy,Neighborhood,BELLAMY ELEMENTARY,Elem,18,39,359,,12,37,465
"",,BRYANT ELEMENTARY,Elem,,,2,,,,2
"",,CANNELLA ELEMENTARY,Elem,1,,6,,,1,8
"",,CARROLLWOOD K-8 SCHOOL,K-8,,,1,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,,6,,,,6
"",,DAVIS ELEMENTARY,Elem,,3,1,,,,4
"",,DESOTO ELEMENTARY,Elem,,1,,,,,1
"",,DUNBAR ELEMENTARY,Elem,,1,,,1,,2
"",,ESSRIG ELEMENTARY,Elem,,,2,,1,2,5
"",,HAMMOND ELEMENTARY,Elem,,,1,,,,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,MORGAN WOODS ELEMENTARY,Elem,,,1,,,,1
"",,NORTHWEST ELEMENTARY,Elem,,,1,,,,1
"",,REDDICK ELEMENTARY,Elem,,,1,,,,1
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,1,,,,1
"",,WOODBRIDGE ELEMENTARY,Elem,,1,1,,,,2
"","Neighborhood
Total",,,19,46,386,,14,40,505
"Bellamy Total
256063112492833",,,,,,,,,,
Belmont,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,2,5,1,,,8
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,,,,,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,6,31,40,,18,22,117
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,,6,6,,1,,13
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,1,,,1,,2
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,1,3,11,,3,9,27
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,,,1,,1
"",,NEW SPRINGS SCHOOL,K-8,,,1,,,,1
"",,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,,,4,,,,4
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,9,15,1,,8,33
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,2,3,,2,2,9
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,42,28,2,13,16,101
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Belmont,Charter,VALRICO LAKE ADVANTAGE ACAD,Elem,4,6,11,,1,7,29
"",,WATERSET CHARTER SCHOOL,K-8,1,20,16,,10,25,72
"",,WINTHROP CHARTER SCHOOL,K-8,,1,2,,1,3,7
"",,WOODMONT CHARTER SCHOOL,K-8,,1,,,,,1
"",Charter Total,,,12,125,142,4,53,92,428
"",Choice,ALAFIA ELEMENTARY,Elem,,,,,2,,2
"",,APOLLO BEACH ELEMENTARY,Elem,,,4,,,3,7
"",,BELMONT ELEMENTARY SCHOOL,Elem,,,1,,,1,2
"",,BEVIS ELEMENTARY,Elem,,,3,,,,3
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,6,1,,,,7
"",,CIMINO ELEMENTARY,Elem,,,,,,3,3
"",,COLLINS PK-8 SCHOOL,K-8,,2,,,1,,3
"",,COLSON ELEMENTARY,Elem,,,,,,1,1
"",,CORR ELEMENTARY,Elem,,1,2,,,,3
"",,CYPRESS CREEK ELEMENTARY,Elem,,1,,,,,1
"",,DAWSON ELEMENTARY,Elem,,,1,,,1,2
"",,DESOTO ELEMENTARY,Elem,,1,,,,,1
"",,DOBY ELEMENTARY,Elem,,1,1,,,4,6
"",,GIBSONTON ELEMENTARY,Elem,,,,,,1,1
"",,KINGSWOOD ELEMENTARY,Elem,,1,,,,,1
"",,MINTZ ELEMENTARY,Elem,,2,,,,,2
"",,REDDICK ELEMENTARY,Elem,,1,4,,,,5
"",,SCHMIDT ELEMENTARY,Elem,,1,,,,,1
"",,SESSUMS ELEMENTARY,Elem,,,,,1,,1
"",,SUMMERFIELD CROSSINGS ELEM,Elem,,1,,,,3,4
"",,SUMMERFIELD ELEMENTARY,Elem,,3,4,,1,5,13
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,1,,,,,1
"",,TEMPLE TERRACE ELEMENTARY,Elem,,,,,1,,1
"",,TURNER BARTELS K-8,K-8,,1,,,,,1
"",Choice Total,,,,23,21,,6,22,72
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Belmont,"ESE Placed
Total",,,,1,,,,,1
"",Magnet,DUNBAR ELEMENTARY,Elem,1,,,,,,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,3,,,,,3
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,,,1
"",,RAMPELLO K-8,K-8,,3,2,,,,5
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,3,,,,,3
"",,ROLAND PARK K-8 MAGNET,K-8,,,,,2,,2
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,2,,,,,2
"",,YORK PK-8 MAGNET SCHOOL,K-8,3,21,22,,14,38,98
"",Magnet Total,,,4,33,25,,16,38,116
"",Neighborhood,APOLLO BEACH ELEMENTARY,Elem,,1,,,,1,2
"",,BELMONT ELEMENTARY SCHOOL,Elem,17,351,260,1,94,179,902
"",,BING ELEMENTARY,Elem,,,,,1,,1
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,1,1
"",,COLLINS PK-8 SCHOOL,K-8,,,1,,,,1
"",,COLSON ELEMENTARY,Elem,,,1,,,,1
"",,CORR ELEMENTARY,Elem,,1,6,,,1,8
"",,CRESTWOOD ELEMENTARY,Elem,,,1,,,,1
"",,CYPRESS CREEK ELEMENTARY,Elem,,2,1,,,,3
"",,DOBY ELEMENTARY,Elem,,1,,,,,1
"",,FROST ELEMENTARY,Elem,,2,,,,,2
"",,KINGSWOOD ELEMENTARY,Elem,,1,,,,,1
"",,MANGO ELEMENTARY,Elem,,1,,,,,1
"",,PALM RIVER ELEMENTARY,Elem,,1,,,,,1
"",,RAMPELLO K-8,K-8,,,,,,1,1
"",,REDDICK ELEMENTARY,Elem,,1,3,,1,3,8
"",,RIVERVIEW ELEMENTARY,Elem,,1,,,,,1
"",,RUSKIN ELEMENTARY,Elem,,,1,,,,1
"",,SEFFNER ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,School,Asian,Black,,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,,Total
Belmont,Neighborhood,SUMMERFIELD ELEMENTARY,Elem,,2,,1,,,,3
"",,THOMPSON ELEMENTARY,Elem,,1,,2,,,1,4
"",,WEST TAMPA ELEMENTARY,Elem,,1,,,,,,1
"",,WIMAUMA ELEMENTARY,Elem,,,,4,,,,4
"",,YORK PK-8 MAGNET SCHOOL,K-8,,4,,1,,,3,8
"",Neighborhood,,,,,,,,,,
"",Total,,,17,373,,283,1,96,190,960
Belmont Total,,,,33,555,,471,5,171,342,"1,577"
Bevis,Charter,BIG BEND ACADEMY MATH & SCIENCE,Elem,,,,,,,1,1
"",,INDEPENDENCE ACADEMY,K-8,,,,,,,1,1
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,,1,,,,1
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,,,,,,1,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,,,2,,,3,5
"",Charter Total,,,,,,3,,,6,9
"",Choice,BEVIS ELEMENTARY,Elem,1,,,3,,2,12,18
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,,6,6
"",,COLLINS PK-8 SCHOOL,K-8,,,,,,,1,1
"",,FISHHAWK CREEK ELEMENTARY,Elem,,,,,,,2,2
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,,,,,2,2
"",,SESSUMS ELEMENTARY,Elem,,,,,,,2,2
"",,STOWERS ELEMENTARY,Elem,,,,,,,1,1
"",,SUMMERFIELD ELEMENTARY,Elem,,,,,,,2,2
"",Choice Total,,,1,,,3,,2,28,34
"",Magnet,YORK PK-8 MAGNET SCHOOL,K-8,,1,,,,,,1
"",Magnet Total,,,,1,,,,,,1
"",Neighborhood,BEVIS ELEMENTARY,Elem,47,14,,108,1,59,344,573
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,2,,,1,3
"",,FISHHAWK CREEK ELEMENTARY,Elem,,1,,1,,,3,5
"",,STOWERS ELEMENTARY,Elem,,,,,,1,4,5
"",Neighborhood,,,,,,,,,,
"",Total,,,47,15,,111,1,60,352,586
Bevis Total,,,,48,16,,117,1,62,386,630
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Bing,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,6,30,,,6,42
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,,,1,,1
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,,1,,,,1
"",,DR KIRAN C PATEL ELEMENTARY,Elem,,,,,2,1,3
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,1,,,,1
"",,LEGACY PREPARATORY ACADEMY,K-8,,1,,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,4,25,,2,8,39
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,,1,,,,1
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,2,1,4,,1,3,11
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,,3,,,1,4
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,,1,,,,1
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,1,,,,,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,,2,,,1,3
"",,WALTON ACADEMY,Elem,,1,,,,,1
"",,WINTHROP CHARTER SCHOOL,K-8,2,7,8,,2,5,24
"",Charter Total,,,4,21,76,,8,25,134
"",Choice,ANDERSON ELEMENTARY,Elem,,,1,,,,1
"",,BALLAST POINT ELEMENTARY,Elem,,,1,,,,1
"",,BEVIS ELEMENTARY,Elem,,,,,,3,3
"",,BING ELEMENTARY,Elem,,,1,,,,1
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,1,1
"",,BROOKER ELEMENTARY,Elem,,,,,1,,1
"",,CHILES ELEMENTARY,Elem,,,2,,,,2
"",,CLAIR MEL ELEMENTARY,Elem,,1,1,,,,2
"",,COLLINS PK-8 SCHOOL,K-8,,,1,,,,1
"",,COLSON ELEMENTARY,Elem,,1,,,,2,3
"",,DESOTO ELEMENTARY,Elem,,,4,,,,4
"",,FROST ELEMENTARY,Elem,,5,5,,4,3,17
"",,GIBSONTON ELEMENTARY,Elem,,,,,1,1,2
"",,IPPOLITO ELEMENTARY,Elem,,,2,,,1,3
"",,KINGSWOOD ELEMENTARY,Elem,,,,,1,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Bing,Choice,LANIER ELEMENTARY,Elem,,,,,1,,1
"",,MABRY ELEMENTARY,Elem,,,,,1,,1
"",,MINTZ ELEMENTARY,Elem,,,,,1,1,2
"",,PALM RIVER ELEMENTARY,Elem,,,4,,,3,7
"",,RIVERVIEW ELEMENTARY,Elem,,,5,,,,5
"",,SCHMIDT ELEMENTARY,Elem,,1,,,,,1
"",,SUMMERFIELD ELEMENTARY,Elem,,,1,,,,1
"",,SYMMES ELEMENTARY,Elem,,,,,1,,1
"",Choice Total,,,,9,29,,11,15,64
"",ESE Placed,MINTZ ELEMENTARY,Elem,,,,,,1,1
"",,PALM RIVER ELEMENTARY,Elem,,,1,,,,1
"","ESE Placed
Total",,,,,1,,,1,2
"",Magnet,DUNBAR ELEMENTARY,Elem,,3,,,,,3
"",,MULLER ELEMENTARY MAGNET,Elem,,,1,,,1,2
"",,RAMPELLO K-8,K-8,,2,3,,1,3,9
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,ROLAND PARK K-8 MAGNET,K-8,,2,,,1,,3
"",,SHORE ELEMENTARY,Elem,,1,1,,,,2
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,1,,,,2
"",Magnet Total,,,,10,6,,2,4,22
"",Neighborhood,BING ELEMENTARY,Elem,6,80,253,,19,78,436
"",,BURNEY ELEMENTARY,Elem,,,,,,1,1
"",,CANNELLA ELEMENTARY,Elem,,,1,,,,1
"",,CLAIR MEL ELEMENTARY,Elem,,1,1,,,,2
"",,DAWSON ELEMENTARY,Elem,,,,,,1,1
"",,DUNBAR ELEMENTARY,Elem,,,1,,,,1
"",,ESSRIG ELEMENTARY,Elem,,,1,,,,1
"",,FROST ELEMENTARY,Elem,1,1,1,,,3,6
"",,GIBSONTON ELEMENTARY,Elem,,,,,1,,1
"",,IPPOLITO ELEMENTARY,Elem,,1,,,,,1
Zoned School,Placement,Current School,School,Asian,Black,,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,,Total
Bing,Neighborhood,LOPEZ ELEMENTARY,Elem,,,,1,,,,1
"",,MCDONALD ELEMENTARY,Elem,,,,,,1,,1
"",,MINTZ ELEMENTARY,Elem,,,,,,1,,1
"",,PALM RIVER ELEMENTARY,Elem,,,,6,,,1,7
"",,RIVERVIEW ELEMENTARY,Elem,,2,,,,,,2
"",,SULLIVAN PARTNERSHIP ELEM,Elem,,1,,,,,,1
"",Neighborhood,,,,,,,,,,
"",Total,,,7,86,,265,,23,84,465
Bing Total,,,,11,126,,377,,44,129,687
Boyette Springs,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,7,,,,,1,8
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,2,1,,3,,2,2,10
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,,,,,3,3
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,1,3,,5,,,6,15
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,,,,,,2,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,1,,3,,2,1,7
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,32,11,,33,1,4,30,111
"",,WINTHROP CHARTER SCHOOL,K-8,,4,,7,,1,1,13
"",Charter Total,,,35,27,,51,1,9,46,169
"",Choice,ALAFIA ELEMENTARY,Elem,,1,,2,,,1,4
"",,APOLLO BEACH ELEMENTARY,Elem,,,,,,,2,2
"",,BEVIS ELEMENTARY,Elem,,,,,,1,18,19
"",,BOYETTE SPRINGS ELEMENTARY,Elem,2,4,,1,,2,18,27
"",,BROOKER ELEMENTARY,Elem,,,,2,,,,2
"",,CIMINO ELEMENTARY,Elem,,,,,,,3,3
"",,COLLINS PK-8 SCHOOL,K-8,,,,1,,,4,5
"",,EDISON ELEMENTARY,Elem,,1,,,,,,1
"",,FISHHAWK CREEK ELEMENTARY,Elem,,,,,,,1,1
"",,LITHIA SPRINGS ELEMENTARY,Elem,,1,,,,,2,3
"",,MINTZ ELEMENTARY,Elem,,,,,,,3,3
"",,RIVERVIEW ELEMENTARY,Elem,,4,,,,,3,7
"",,STOWERS ELEMENTARY,Elem,1,,,4,,2,1,8
"",,SYMMES ELEMENTARY,Elem,,,,1,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Boyette Springs,Choice Total,,,3,11,11,,5,56,86
"",ESE Placed,SUMMERFIELD ELEMENTARY,Elem,,,,,,1,1
"","ESE Placed
Total",,,,,,,,1,1
"",Magnet,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,MULLER ELEMENTARY MAGNET,Elem,,,1,,1,,2
"",,RAMPELLO K-8,K-8,,,2,,,,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,SHORE ELEMENTARY,Elem,,,,,1,1,2
"",,YORK PK-8 MAGNET SCHOOL,K-8,2,,,,,1,3
"",Magnet Total,,,2,2,3,,2,2,11
"",Neighborhood,BELMONT ELEMENTARY SCHOOL,Elem,,1,,,,,1
"",,BOYETTE SPRINGS ELEMENTARY,Elem,22,73,140,1,57,267,560
"",,CIMINO ELEMENTARY,Elem,,,,,1,,1
"",,COLLINS PK-8 SCHOOL,K-8,,,,,,1,1
"",,COLSON ELEMENTARY,Elem,,,,,,1,1
"",,FISHHAWK CREEK ELEMENTARY,Elem,,,,,1,,1
"",,KINGSWOOD ELEMENTARY,Elem,,,,,,1,1
"",,LITHIA SPRINGS ELEMENTARY,Elem,,1,,,,,1
"",,RIVERVIEW ELEMENTARY,Elem,,1,1,,,4,6
"",,STOWERS ELEMENTARY,Elem,1,,,,,3,4
"",,SUMMERFIELD CROSSINGS ELEM,Elem,,,,,,1,1
"",,SUMMERFIELD ELEMENTARY,Elem,,,1,,,2,3
"",,VALRICO ELEMENTARY,Elem,,,,,1,,1
"",,WIMAUMA ELEMENTARY,Elem,,,,,,1,1
"",,YATES ELEMENTARY,Elem,,1,,,,,1
"","Neighborhood
Total",,,23,77,142,1,60,281,584
"Boyette Springs Total
63117207276386851",,,,,,,,,,
Brooker,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,3,3,,,,6
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Brooker,Charter,DR KIRAN C PATEL ELEMENTARY,Elem,,,,1,,,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,1,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,,,,2,2
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,13,7,32,1,4,35,92
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,,,,,1,1
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,,,,,1,1
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,,,1,,,,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,6,9,12,,1,8,36
"",,WINTHROP CHARTER SCHOOL,K-8,3,8,14,,1,3,29
"",Charter Total,,,22,28,63,2,7,50,172
"",Choice,ALAFIA ELEMENTARY,Elem,4,,4,,2,16,26
"",,BAILEY ELEMENTARY,Elem,,,,,,1,1
"",,BEVIS ELEMENTARY,Elem,,,1,,,1,2
"",,BOYETTE SPRINGS ELEMENTARY,Elem,2,,3,,,6,11
"",,BROOKER ELEMENTARY,Elem,,1,1,,,4,6
"",,BUCKHORN ELEMENTARY,Elem,,,2,,2,6,10
"",,CIMINO ELEMENTARY,Elem,,,4,,,10,14
"",,COLLINS PK-8 SCHOOL,K-8,,,,,,2,2
"",,COLSON ELEMENTARY,Elem,,,,,,2,2
"",,CORR ELEMENTARY,Elem,,,,,,1,1
"",,DESOTO ELEMENTARY,Elem,,,1,,,,1
"",,JAMES ELEMENTARY,Elem,,1,,,,,1
"",,KINGSWOOD ELEMENTARY,Elem,,1,1,,,,2
"",,LITHIA SPRINGS ELEMENTARY,Elem,2,1,2,,1,7,13
"",,MITCHELL ELEMENTARY,Elem,,,,,,1,1
"",,NELSON ELEMENTARY,Elem,,,,,,1,1
"",,PALM RIVER ELEMENTARY,Elem,,,2,,,,2
"",,SCHMIDT ELEMENTARY,Elem,,1,,,,,1
"",,STOWERS ELEMENTARY,Elem,,1,,,,,1
"",,SYMMES ELEMENTARY,Elem,,,,,1,,1
"",,TAMPA PALMS ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Brooker,Choice,YATES ELEMENTARY,Elem,,,2,,,,2
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,1,,,,1
"",Choice Total,,,9,7,26,,8,61,111
"",ESE Placed,COLLINS PK-8 SCHOOL,K-8,,1,,,,,1
"","ESE Placed
Total",,,,1,,,,,1
"",Magnet,DUNBAR ELEMENTARY,Elem,,1,,,,,1
"",,LINCOLN ELEMENTARY MAGNET,Elem,5,,,,,1,6
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,,1,2
"",,RAMPELLO K-8,K-8,,,2,,,4,6
"",,ROLAND PARK K-8 MAGNET,K-8,,,,,,2,2
"",Magnet Total,,,5,2,3,,,8,18
"",Neighborhood,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,1,1
"",,BROOKER ELEMENTARY,Elem,37,75,215,2,57,256,642
"",,CIMINO ELEMENTARY,Elem,,,1,,,1,2
"",,COLSON ELEMENTARY,Elem,,1,1,,1,1,4
"",,FOREST HILLS ELEMENTARY,Elem,,,1,,,,1
"",,KINGSWOOD ELEMENTARY,Elem,,,1,,2,2,5
"",,LITHIA SPRINGS ELEMENTARY,Elem,1,,,,,,1
"",,MANGO ELEMENTARY,Elem,,1,,,,,1
"",,MINTZ ELEMENTARY,Elem,,,,,1,1,2
"",,NELSON ELEMENTARY,Elem,2,2,1,,1,3,9
"",,RIVERVIEW ELEMENTARY,Elem,,1,,,,,1
"",,SCHMIDT ELEMENTARY,Elem,,,,,,1,1
